model,dataset,topic_id,top_terms,topic_size
C-Top2Vec,Wiki_clean_text_v2,45,"בתרבויות, טכניקות, טכניקת, טכניקה, אמנויות, הטקטיקה, אסלאם, סגנונות, המונגולי, הקולוניאלית, סובייטי, הסינית",18156
C-Top2Vec,Wiki_clean_text_v2,46,"אירופית, אתניות, הולנדית, אירופיות, ובמדינות, בתרבויות, גרמנית, הגרמנית, סובייטית, מגרמנית, בפולנית, אירופאי",17611
C-Top2Vec,Wiki_clean_text_v2,47,"ההגייה, מנגנון, סימטריה, פונקציית, ההיגיון, היפוך, המנגנון, רציונלי, פונקציה, האלקטרומגנטי, האלקטרון, איבר",17592
C-Top2Vec,Wiki_clean_text_v2,48,"האיבר, חיתוך, החיתוך, ההגייה, האחורי, הממשל, המשטח, היד, הקדמי, הצוואר, דיוקנו, המנגנון",17229
C-Top2Vec,Wiki_clean_text_v2,49,"אופני, חימוש, הנדסי, מקלעים, עבודות, מקלע, לוחמה, בתרבויות, מוליכים, משאיות, משוריין, הנדסה",16536
C-Top2Vec,Wiki_clean_text_v2,50,"טורניר, כדור, הוקי, בכדור, משחק, כדורי, טניס, מגרש, משחקי, משחקת, מכדור, לשחק",16500
C-Top2Vec,Wiki_clean_text_v2,51,"במשחק, מסמנים, עיגול, בסיבוב, כדור, הנקודות, בכדור, השחקן, הקלף, קלף, הסיבוב, הכדור",16349
C-Top2Vec,Wiki_clean_text_v2,52,"משחק, במשחק, לשחק, משחקי, טורניר, המשחק, תחרויות, משחקת, קלפים, משחקים, צעצוע, שחקני",15706
C-Top2Vec,Wiki_clean_text_v2,53,"אנטיוכוס, בתקופת, אנטיגונוס, ובתקופה, לידתו, אריסטובולוס, מתקופה, תקופתו, בתקופה, הסימפוניה, הקיסר, הרומי",15151
C-Top2Vec,Wiki_clean_text_v2,54,"ההמראה, הצוללת, התקיפה, ספינות, הפצצה, ספינת, ספינה, הטורפדו, אוניית, שוגרה, מעבורת, האסטרונאוטים",15040
C-Top2Vec,Wiki_clean_text_v2,55,"זרוע, הקדמי, הזרוע, האחורי, ידית, אחיזה, זרועות, היד, לרוחב, חיתוך, רצועות, המקלע",14901
C-Top2Vec,Wiki_clean_text_v2,56,"האסטרונאוטים, החללית, חללית, טיסת, טלסקופ, השיגור, מעבורת, ההמראה, חלל, הגשושית, שיגור, שוגרה",13780
C-Top2Vec,Wiki_clean_text_v2,57,"עבירות, בעבירות, הפלילי, נורמות, ענישה, חוקיות, עבירה, נהוגה, הנוהג, פלילית, בחוק, רשויות",12882
C-Top2Vec,Wiki_clean_text_v2,58,"יורשו, המושל, כיהן, סגנו, מכהן, הסולטאן, מושל, נתמנה, התמנה, נכדו, כסגן, הרפובליקה",12874
C-Top2Vec,Wiki_clean_text_v2,59,"הרפובליקה, הקיסרות, משטרו, וייטנאם, הקיסר, השושלת, הקיסרי, הקיסרית, קוריאה, יוגוסלביה, קיימברידג, נשיאותו",12232
C-Top2Vec,Wiki_clean_text_v2,60,"קיימברידג, פנסילבניה, סיאטל, אילינוי, מיאמי, קרוליינה, קולורדו, אורלנדו, אוקלהומה, ויילס, טרנסילבניה, סלובניה",12191
C-Top2Vec,Wiki_clean_text_v2,61,"יוגוסלביה, קיימברידג, סלובניה, מונגוליה, מרומניה, פנסילבניה, ארמניה, אנטוליה, תוניסיה, פרגוואי, נברסקה, ובמדינות",11880
C-Top2Vec,Wiki_clean_text_v2,62,"טכנולוגיות, טכנולוגיית, פיתוח, מיזם, מערכות, בתרבויות, תכנות, טכנולוגיה, אסטרטגיות, תוכנות, מנגנונים, פיתח",11715
C-Top2Vec,Wiki_clean_text_v2,63,"הירדן, נחל, למפרץ, בקעת, הגבול, ממערב, בנחל, מדרום, הרכס, הנחל, ממזרח, בגבול",11494
C-Top2Vec,Wiki_clean_text_v2,64,"בתרבויות, להלכה, דיני, האפוטרופוס, זכויות, משפטית, נישואי, להסדיר, זכויותיהם, בירושה, חוקתית, ברפובליקה",11406
C-Top2Vec,Wiki_clean_text_v2,65,"הקיר, גובהו, סנטימטר, הגג, בגובה, המבנה, לרוחב, מסביב, האחורי, רוחב, שטחו, המדרגות",11376
C-Top2Vec,Wiki_clean_text_v2,66,"משחק, המשחק, טורניר, במשחק, לשחק, הטורניר, אסטרטגיה, משחקי, מדע, הטקטיקה, סדרת, הוקרן",11020
C-Top2Vec,Wiki_clean_text_v2,67,"מוסף, העיתון, עיתון, גיליון, מגזין, בעיתון, בהוצאת, כעורך, המגזין, נוסד, בכתבים, בעריכת",11011
C-Top2Vec,Wiki_clean_text_v2,68,"ואחותו, אברהם, ירבעם, יעקב, רבקה, והמלך, אבינו, שרה, בתו, לאברהם, בנך, יצחק",10629
C-Top2Vec,Wiki_clean_text_v2,69,"התקוממות, מחאות, במחאה, המחאה, הפגנה, בעצרת, מחאה, הפגנת, העצרת, הפגנות, המהפכה, ועידת",10354
C-Top2Vec,Wiki_clean_text_v2,70,"חטיבת, פלוגת, גדוד, שירת, קצין, סיירת, פיקד, גדודים, כקצין, מפקדי, לוחם, פיקודו",10205
C-Top2Vec,Wiki_clean_text_v2,71,"כמזכיר, כיהן, לכהונה, נתמנה, התמנה, כסגן, לשר, מכהן, בהנהגתו, מונתה, לראשות, המזכיר",9594
C-Top2Vec,Wiki_clean_text_v2,72,"רכס, במורד, למרגלות, ממערב, ההרים, קילומטרים, הרכס, מישורי, לאוקיינוס, תוואי, ממזרח, הטיפוס",9419
C-Top2Vec,Wiki_clean_text_v2,73,"סוג, אפריקני, צאצאיו, קיימברידג, פולינום, קולג, גנו, המיראז, מינו, דמוית, ולס, תוארו",9027
C-Top2Vec,Wiki_clean_text_v2,74,"ובמדינות, מולקולת, לווייתן, הגלקסיה, בתרבויות, אוכלוסייתה, יבשת, ארצות, הלווייתן, דמוית, ננסית, קרניים",8687
C-Top2Vec,Wiki_clean_text_v2,75,"תוכנת, מעבד, טכנולוגיית, ממשק, תכנות, תוכנות, פורמט, תוכנה, ההגייה, טכנולוגיות, חומרה, מנגנונים",8503
C-Top2Vec,Wiki_clean_text_v2,76,"כלבי, סגנונו, שועל, נפוץ, כינויו, הגזע, הגאולוגי, ידידו, פופולרי, נפוצים, גזעי, הביזנטי",8319
C-Top2Vec,Wiki_clean_text_v2,77,"ירקות, אורז, מאכל, חיטה, האורז, גבינות, פטריות, פלסטיק, גבינה, בשר, תירס, תערובת",8098
C-Top2Vec,Wiki_clean_text_v2,78,"קיימברידג, הארמון, ויטראז, הקתדרלה, בנייני, ארמון, בביאליסטוק, המקדש, הרובע, המבנה, המסגד, הרנסאנס",7546
C-Top2Vec,Wiki_clean_text_v2,79,"לוגית, ההשערה, ההנחה, ההגייה, ההסתברות, הטיעון, סימטריה, מתמטית, הטענה, תאוריות, טיעון, היפוך",7141
C-Top2Vec,Wiki_clean_text_v2,80,"קיימברידג, אוניברסיטת, הפקולטה, באוניברסיטת, האוניברסיטה, אוניברסיטה, באוניברסיטה, אוניברסיטאות, בפקולטה, המכללה, מוסדות, הרווארד",7083
C-Top2Vec,Wiki_clean_text_v2,81,"שכיחות, אוכלוסייתה, הוגים, אוכלוסיות, שכיחים, נפוצים, המתמטיקאים, חוקרים, התופעה, הושפעו, בתרבויות, נצפו",6993
C-Top2Vec,Wiki_clean_text_v2,82,"במורד, הנהר, נחל, שאורכו, הירדן, הנחל, תוואי, הגבול, חציית, הנהרות, הרכס, הזורם",6489
C-Top2Vec,Wiki_clean_text_v2,83,"סוג, מינים, שבטים, אפריקני, צאצאיו, זנים, דמוית, הכחדה, גזע, בתרבויות, קרובי, גזעים",6388
C-Top2Vec,Wiki_clean_text_v2,84,"מינים, אפריקני, שבטים, אוכלוסייתה, זנים, הסוגים, בתרבויות, מיקרואורגניזמים, ילידים, נדידת, הגאולוגי, גודלם",6326
C-Top2Vec,Wiki_clean_text_v2,85,"רקמת, צוואר, האיבר, הבטן, הגולגולת, כריתת, הצוואר, איבר, הקדמי, דלקת, האחורי, סנטימטר",6297
C-Top2Vec,Wiki_clean_text_v2,86,"זוחלים, בתרבויות, חרקים, מינים, שכיחים, אוכלוסייתה, יצורים, הנפוצים, גזעים, אפריקני, מיקרואורגניזמים, יצור",5980
C-Top2Vec,Wiki_clean_text_v2,87,"אגף, מערך, מנהל, תפקידו, מפקדי, במערך, פיקוד, המודיעין, תפקידם, האגף, התמחות, כקצין",5952
C-Top2Vec,Wiki_clean_text_v2,88,"המספר, מספרי, מספר, במספר, למספר, בפסוק, צירוף, באלפבית, המקראי, ומספר, במקרא, ריבוע",5799
C-Top2Vec,Wiki_clean_text_v2,89,"לימודי, בישיבה, בישיבות, במסגרות, ישיבות, מוסדות, לימוד, ישיבת, תלמידי, ובמדינות, מכללת, בוגרי",5249
C-Top2Vec,Wiki_clean_text_v2,90,"בסיוון, בחשוון, בחודש, בתאריך, פברואר, נובמבר, דצמבר, החודש, בפברואר, בחודשים, בשבוע, החודשים",5011
C-Top2Vec,Wiki_clean_text_v2,91,"הקונסול, הנציב, סגנו, כיהן, התמנה, הנשיא, יורשו, מכהן, קודמו, נשיא, הרפובליקה, המושל",4749
C-Top2Vec,Wiki_clean_text_v2,92,"עירוב, בתלמוד, הלכות, דיני, מסכת, תלמוד, התלמוד, בגמרא, המציין, במשנה, עיצור, המפרש",4644
C-Top2Vec,Wiki_clean_text_v2,93,"מסכת, בתלמוד, בגמרא, בפירושו, המשנה, במשנה, התלמוד, המסכת, הלכות, במדרש, הגמרא, חידושי",4574
C-Top2Vec,Wiki_clean_text_v2,94,"מסכת, בתלמוד, בגמרא, בפירושו, במשנה, המשנה, התלמוד, במדרש, מדרש, הלכות, חידושי, מקרא",4449
C-Top2Vec,Wiki_clean_text_v2,95,"הסימפוניה, מיצירותיו, האופרה, ביצירתו, אופרה, יצירות, המלחין, משיריו, מוצרט, יצירותיו, הגותו, מחזות",4346
C-Top2Vec,Wiki_clean_text_v2,96,"בנייני, המגדל, קומות, מגדלי, פסגת, בבניין, במנהטן, מגדל, הקתדרלה, בניין, בניינים, הבניינים",3808
C-Top2Vec,Wiki_clean_text_v2,97,"הכרה, נסיגה, האמנה, ריבונות, התנחלויות, תוואי, בגבולות, ההתנחלויות, סיפוח, השטחים, האוטונומיה, אוטונומיה",3658
C-Top2Vec,Wiki_clean_text_v2,98,"במחוז, מחוז, בירתה, אנטוליה, המחוז, קמבודיה, תוניסיה, פנסילבניה, קיימברידג, ברפובליקה, בורמה, בירת",3477
C-Top2Vec,Wiki_clean_text_v2,99,"הסופר, ספר, בספריו, ספריו, מספריו, ספרה, קיימברידג, ספרו, מחזות, גרשווין, זיגמונד, לודוויג",3304
C-Top2Vec,Wiki_clean_text_v2,100,"קיימברידג, לודוויג, פול, הווארד, בראון, מקינלי, קנדי, פרדי, קארל, הלן, קונלי, מרלין",3221
C-Top2Vec,Wiki_clean_text_v2,101,"סרטיו, קומדיה, ובמאי, דיסני, סרטי, סרט, קולנוע, סרטו, גלובוס, פיקסאר, קיימברידג, קומיקס",2789
C-Top2Vec,Wiki_clean_text_v2,102,"קומדיה, אוסקר, קיימברידג, שחקנית, הקומדיה, ובמאי, האנגליקנית, לודוויג, קינג, תסריטאי, הווארד, קארל",2561
C-Top2Vec,Wiki_clean_text_v2,103,"נגינה, בגיטרה, הצליל, לנגן, סגנונות, המיתרים, נשיפה, סגנונו, הגיטרה, אקורד, קלידים, צלילים",2427
C-Top2Vec,Wiki_clean_text_v2,104,"אקורד, מו, המיראז, דו, הצליל, רה, ליג, הסימפוניה, הדרגה, סה, עו, קו",2047
C-Top2Vec,Wiki_clean_text_v2,105,"המחזמר, הסופר, האופרה, המחזה, מחזות, ביים, המלחין, וזמר, ותיאטרון, מחזה, הוקרן, סרטו",1882
C-Top2Vec,Wiki_clean_text_v2,106,"גיטרה, נגינה, תופים, בגיטרה, פסנתר, פרדי, לנגן, הגיטרה, מנגן, פולק, באך, פינק",1709
C-Top2Vec,Wiki_clean_text_v2,107,"רשויות, מוסדות, רווחה, במימון, למימון, ממשלתי, תגמול, הרווחה, לממן, המוסדות, מדיניות, לחינוך",1600
C-Top2Vec,Wiki_clean_text_v2,108,"קיימברידג, הקתדרלה, הארמון, ארמון, הטירה, הפארק, המגדל, מצודת, המצודה, פנסילבניה, האצטדיון, בנייני",1458
C-Top2Vec,Wiki_clean_text_v2,109,"אנטיפטרוס, אנטיוכוס, אנטיגונוס, קורנליוס, אריסטובולוס, תאודוסיוס, פיליפוס, מוסוליני, טיבריוס, אדריאנוס, מרקוס, הורקנוס",1419
C-Top2Vec,Wiki_clean_text_v2,110,"בתרבויות, הקולוניאלית, המהפכנית, הסוציולוגיה, המתמטיקאי, האידאולוגיה, ההגייה, ובמדינות, הפילוסוף, מהמיתולוגיה, הקומוניזם, הביזנטי",1296
C-Top2Vec,Wiki_clean_text_v2,111,"אנטיגונוס, אנטיוכוס, אנטיפטרוס, אדריאנוס, ממלכתו, הקיסר, אריסטובולוס, פיליפוס, טיבריוס, קורנליוס, הורדוס, קונסטנטינוס",1257
C-Top2Vec,Wiki_clean_text_v2,112,"דיפלומט, לודוויג, הפילוסוף, שניאורסון, המתמטיקאי, פיזיקאי, הקונסול, קיימברידג, הסופר, הפיזיקאי, ותסריטאי, מורי",1238
C-Top2Vec,Wiki_clean_text_v2,113,"ההגייה, בהגייה, הצליל, כשפה, בתרבויות, צורות, סגנונו, משמעויות, נגינה, צלילים, הצורות, עיצור",1233
C-Top2Vec,Wiki_clean_text_v2,114,"ההגייה, המנצח, מסמנים, הרפובליקני, מנצח, במשחק, היפוך, מסומן, עיגול, בצבע, ההסתברות, הצבע",1115
C-Top2Vec,Wiki_clean_text_v2,115,"ההמראה, השיגור, חללית, האסטרונאוטים, טיסת, שיגור, שוגרה, החללית, טלסקופ, חלל, מעבורת, הנחיתה",1072
C-Top2Vec,Wiki_clean_text_v2,116,"חימוש, טנק, מטוסי, המקלע, אווירי, מטוסים, הטורפדו, הטנק, טיל, המסוק, טנקי, טילי",845
C-Top2Vec,Wiki_clean_text_v2,117,"פופ, סגנונות, רוק, בלוז, הרוק, מטאל, להקות, מוזיקליות, אתניות, להקת, המודרניות, סולן",724
C-Top2Vec,Wiki_clean_text_v2,118,"מצוות, המצוות, ויקרא, בתלמוד, הלכות, קודש, מצות, בחג, המצווה, בשבת, פרשיות, בהלכה",686
C-Top2Vec,Wiki_clean_text_v2,119,"הנהר, לאוקיינוס, המיראז, למפרץ, הנהרות, ביבשה, נהר, באוקיינוס, נהרות, האוקיינוס, למרגלות, הגבול",565
